,issuekey,title,description,storypoint
1045,TIMOB-18747,mobileweb preview browser opens unavailable page,running project mobile web open unavailable page steps reproduce issue create new project studio via cli run project mobile web preview browser actual results opened browser unavailable page expected results app successfully run browser notes project looks created correctly manually opening indexhtml works fine,3
1046,TIMOB-18749,windows implement tiuidmatrix proxy,note tiuicreatedmatrix takes special object defined represent struct much definedobject abstract types point dimension class used conjunction tiuianimation eventually consumed tiuiviewanimate method seems map properties number number number number number amount move horizontally number amount move vertically methods invert titaniumuidmatrix multiply titaniumuidmatrix titaniumuidmatrix rotate number angle toangle titaniumuidmatrix scale number number tosx tosy titaniumuidmatrix translate number number titaniumuidmatrix,13
1047,TIMOB-18750,windows support animations right center bottom properties,implementing tiuianiamtiontiuiviewanimate didnt implement bottomrightcenter animations topleft need implement bottomrightcenter well typically involve basic code referencing different properties component determining amount move,8
1048,TIMOB-18751,windows fire tiuianimation events,need fire complete start events animations,5
1049,TIMOB-18752,windows support animations height width zindex properties,need support animations height width zindex properties,5
1050,TIMOB-18753,windows support curveeasing functions animations,need respect curve property set use apply relevant easing function generated animations see sure ease types best applies,5
1051,TIMOB-18754,windows implement tiuioptiondialog,appears first good implementation would nearly identical alertdialog,5
1052,TIMOB-18756,windows implement titaniumbuffer proxy,properties byteorder number creationonly length number type string creationonly value numberstring creationonly methods append sourcebuffer sourceoffset sourcelength number clear void clone offset length titaniumbuffer copy sourcebuffer offset sourceoffset sourcelength number fill fillbyte offset length void insert sourcebuffer offset sourceoffset sourcelength number release void toblob titaniumblob tostring string,13
1053,TIMOB-18757,windows implement titaniumuiclipboard proxy,methods cleardata type void cleartext void getdata type stringtitaniumblob gettext string hasdata type boolean hastext booleannumber setdata type data void settext text void,8
1054,TIMOB-18758,windows fire tiapp events,need hook event firing tiapp events events accessibilitychanged fired system devices accessibility service turned keyboardframechanged fired soft keyboard presented screen memorywarning fired app receives warning operating system low memory availability pause fired application transitions active inactive state multitasked system paused fired application transitions background multitasked system proximity fired proximity sensor changes state resume fired application returns foreground multitasked system resumed fired application returns foreground significanttimechange fired significant change time,8
1055,TIMOB-18759,windows stub propertiesmethods titaniumnetwork titaniumkit,networkmodule titanumkit missing number methodsproperties public api stub references dont cause crashes app,5
1056,TIMOB-18760,windows implement tinetwork encode decodeuricomponent methods,,5
1057,TIMOB-18761,windows fire tinetwork change events,,5
1058,TIMOB-18763,kitchensink master fixed versions facebook modules,description kitchensink tiappxml fixed versions facebook modules prevent later modules automatically used currently set version latest android set latest code modules module platformandroid versionfacebookmodule module platformiphone versionfacebookmodule modulescode steps reproduce either check master branch pull master git check facebook module entries tiappxml result tiappxml specific versions shown expected result tiappxml set like code modules module platformandroidfacebookmodule module platformiphonefacebookmodule modulescode,3
1059,TIMOB-18765,ios webview recognize local html file using tisourcedirectory project name space,hdescription since sdk webview recognise html file using tisourcedirectory file system space app name hreproduce create classic project named simple test space create folder named html resource folder create simple html file name comingsoonhtml like following codetitlecomingsoonhtml html head titlehello worldtitle head body div pcontent follow soonp div body html code add following code appjs file codetitleappjs win tiuicreatewindow backgroundcolor white var tifilesystemgetfiletifilesystemresourcesdirectoryhtmlcomingsoonhtml fexists var contents fread alertoutput filecontentstext else tiapiinfono file var url tifilesystemresourcesdirectory htmlcomingsoonhtml var tiuicreatewebview top url url winaddwv winopen code hexpect result webview display normally hactual result error pop console log couldnt load url appcomcocoafishsliangpushusersshuolianglibrarydevelopercoresimulatordeviceseabdaccebdatacontainersbundleapplicationbcdeccddsimplepushapphtmlcomingsoonhtml hnote problem sdk change app name without space problem gone,5
